rebalance_date,ticker,eligible_flag,inclusion_reason,exclusion_reason,listing_status,market_cap,adv_30d,filing_available_flag,latest_filing_used,latest_filing_date,latest_filing_accepted_datetime,sector,basin,delisting_return_applied
2021-06-30,CPE,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2021-09-30,FANG,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2021-09-30,MTDR,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2021-09-30,OVV,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2021-09-30,APA,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2021-09-30,EOG,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2021-09-30,SM,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2021-09-30,VTLE,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2021-09-30,PXD,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2021-09-30,CPE,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2021-12-31,FANG,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2021-12-31,CTRA,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2021-12-31,MTDR,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2021-12-31,OVV,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2021-12-31,APA,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2021-12-31,EOG,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2021-12-31,CRGY,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2021-12-31,SM,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2021-12-31,VTLE,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2021-12-31,CIVI,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2021-12-31,PXD,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2021-12-31,CPE,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2022-03-31,FANG,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2022-03-31,CTRA,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2022-03-31,MTDR,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2022-03-31,OVV,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2022-03-31,APA,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2022-03-31,EOG,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2022-03-31,CRGY,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2022-03-31,SM,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2022-03-31,VTLE,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2022-03-31,CIVI,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2022-03-31,PXD,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2022-03-31,CPE,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2022-06-30,FANG,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
