ticker,quarter,caligula_score,rank,tier
FANG,2018-06-30,0.502470238095238,6.0,C
MTDR,2018-06-30,0.48301785714285717,7.0,C
SM,2018-06-30,0.46964285714285714,8.0,C
VTLE,2018-09-30,0.5698988095238096,1.0,B
MTDR,2018-09-30,0.5623928571428571,2.0,B
SM,2018-09-30,0.5616428571428571,3.0,B
EOG,2018-09-30,0.5539880952380952,4.0,B
PXD,2018-09-30,0.544577380952381,5.0,C
CPE,2018-09-30,0.5229642857142857,6.0,C
CXO,2018-09-30,0.46735714285714286,7.0,C
FANG,2018-09-30,0.4243452380952381,8.0,C
EOG,2018-12-31,0.6477380952380952,1.0,B
FANG,2018-12-31,0.5588095238095238,2.0,B
MTDR,2018-12-31,0.5535178571428571,3.0,B
VTLE,2018-12-31,0.5058630952380953,4.0,C
CXO,2018-12-31,0.5014285714285713,5.0,C
SM,2018-12-31,0.4845178571428572,6.0,C
CPE,2018-12-31,0.48121428571428576,7.0,C
PXD,2018-12-31,0.4685773809523809,8.0,C
CPE,2019-03-31,0.6362117346938776,1.0,B
MTDR,2019-03-31,0.5739880952380952,2.0,B
CXO,2019-03-31,0.5651709183673469,3.0,B
PXD,2019-03-31,0.5475561224489796,4.0,C
VTLE,2019-03-31,0.5457219387755101,5.0,C
SM,2019-03-31,0.5069821428571428,6.0,C
EOG,2019-03-31,0.47339285714285717,7.0,C
FANG,2019-03-31,0.39288690476190474,8.0,D
CXO,2019-06-30,0.5862066326530612,1.0,B
PXD,2019-06-30,0.5397576530612245,2.0,C
VTLE,2019-06-30,0.5314668367346939,3.0,C
CPE,2019-06-30,0.5212831632653061,4.0,C
EOG,2019-06-30,0.5203571428571429,5.0,C
SM,2019-06-30,0.4991428571428571,6.0,C
FANG,2019-06-30,0.49860119047619045,7.0,C
MTDR,2019-06-30,0.49836309523809524,8.0,C
EOG,2019-09-30,0.6115178571428571,1.0,B
PXD,2019-09-30,0.5843290816326531,2.0,B
SM,2019-09-30,0.5569285714285716,3.0,B
VTLE,2019-09-30,0.5063775510204082,4.0,C
MTDR,2019-09-30,0.5011011904761905,5.0,C
CXO,2019-09-30,0.5007066326530613,6.0,C
CPE,2019-09-30,0.487265306122449,7.0,C
FANG,2019-09-30,0.4596130952380952,8.0,C
PXD,2019-12-31,0.6046326530612245,1.0,B
SM,2019-12-31,0.5750535714285715,2.0,B
FANG,2019-12-31,0.5496130952380952,3.0,
VTLE,2019-12-31,0.5298239795918367,4.0,C
CXO,2019-12-31,0.5247066326530612,5.0,C
EOG,2019-12-31,0.5002678571428572,6.0,C
MTDR,2019-12-31,0.47485119047619045,7.0,C
CPE,2019-12-31,0.45260459183673474,8.0,C
EOG,2020-03-31,0.6165833333333333,1.0,B
SM,2020-03-31,0.5601468253968255,2.0,B
MTDR,2020-03-31,0.5418333333333334,3.0,C
VTLE,2020-03-31,0.5378333333333334,4.0,C
FANG,2020-03-31,0.5146666666666666,5.0,C
CPE,2020-03-31,0.4800833333333333,6.0,C
PXD,2020-03-31,0.47171428571428575,7.0,C
OVV,2020-03-31,0.4676388888888889,8.0,C
CXO,2020-03-31,0.4676349206349207,9.0,C
SM,2020-06-30,0.5993968253968254,1.0,B
MTDR,2020-06-30,0.5847222222222223,2.0,B
VTLE,2020-06-30,0.5645039682539683,3.0,B
OVV,2020-06-30,0.5199722222222223,4.0,C
EOG,2020-06-30,0.5126666666666667,5.0,C
FANG,2020-06-30,0.4849166666666667,6.0,C
CXO,2020-06-30,0.4718333333333333,7.0,C
CPE,2020-06-30,0.45125793650793644,8.0,C
PXD,2020-06-30,0.4487777777777778,9.0,C
SM,2020-09-30,0.562234126984127,1.0,B
FANG,2020-09-30,0.5620277777777777,2.0,B
OVV,2020-09-30,0.5566111111111112,3.0,B
MTDR,2020-09-30,0.5346944444444444,4.0,C
CPE,2020-09-30,0.5270357142857144,5.0,C
VTLE,2020-09-30,0.5107460317460317,6.0,C
EOG,2020-09-30,0.5094444444444445,7.0,C
CXO,2020-09-30,0.4989444444444444,8.0,C
PXD,2020-09-30,0.4193333333333333,9.0,C
VTLE,2020-12-31,0.7089722222222222,1.0,A
SM,2020-12-31,0.6283730158730159,2.0,B
CXO,2020-12-31,0.5076944444444444,3.0,C
FANG,2020-12-31,0.5017222222222222,4.0,C
MTDR,2020-12-31,0.49180555555555555,5.0,C
EOG,2020-12-31,0.47911111111111104,6.0,C
PXD,2020-12-31,0.47225396825396837,7.0,C
OVV,2020-12-31,0.4673333333333333,8.0,C
CPE,2020-12-31,0.4257023809523809,9.0,C
VTLE,2021-03-31,0.6294007936507936,1.0,B
APA,2021-03-31,0.5675555555555556,2.0,B
PXD,2021-03-31,0.554952380952381,3.0,B
SM,2021-03-31,0.535531746031746,4.0,C
OVV,2021-03-31,0.5293611111111112,5.0,C
EOG,2021-03-31,0.5263333333333334,6.0,C
FANG,2021-03-31,0.48794444444444435,7.0,C
CPE,2021-03-31,0.43436904761904754,8.0,C
MTDR,2021-03-31,0.40758333333333335,9.0,C
APA,2021-06-30,0.6176547619047619,1.0,B
VTLE,2021-06-30,0.5626587301587302,2.0,B
EOG,2021-06-30,0.5527777777777778,3.0,B
FANG,2021-06-30,0.5413888888888888,4.0,C
PXD,2021-06-30,0.5222857142857142,5.0,C
MTDR,2021-06-30,0.4916944444444445,6.0,C
CPE,2021-06-30,0.49063888888888885,7.0,C
OVV,2021-06-30,0.4458055555555555,8.0,C
SM,2021-06-30,0.39871428571428574,9.0,D
EOG,2021-09-30,0.5644444444444445,1.0,B
VTLE,2021-09-30,0.5480555555555555,2.0,C
CPE,2021-09-30,0.5259087301587302,3.0,C
OVV,2021-09-30,0.5166666666666666,4.0,C
APA,2021-09-30,0.5144404761904762,5.0,C
MTDR,2021-09-30,0.5056388888888889,6.0,C
PXD,2021-09-30,0.4857301587301587,7.0,C
FANG,2021-09-30,0.4761666666666667,8.0,C
SM,2021-09-30,0.4672420634920635,9.0,C
APA,2021-12-31,0.5909336219336219,1.0,B
EOG,2021-12-31,0.5590295815295816,2.0,B
CTRA,2021-12-31,0.5563950216450217,3.0,B
CPE,2021-12-31,0.5241893939393939,4.0,C
VTLE,2021-12-31,0.5084155844155844,5.0,C
MTDR,2021-12-31,0.4999141414141415,6.0,C
CRGY,2021-12-31,0.498224025974026,7.0,C
OVV,2021-12-31,0.4921713564213564,8.0,C
CIVI,2021-12-31,0.4825717893217894,9.0,C
SM,2021-12-31,0.4774383116883117,10.0,C
PXD,2021-12-31,0.47509126984126987,11.0,C
FANG,2021-12-31,0.4122424242424242,12.0,C
CIVI,2022-03-31,0.587319264069264,1.0,B
EOG,2022-03-31,0.5758484848484849,2.0,B
CPE,2022-03-31,0.5638982683982684,3.0,B
MTDR,2022-03-31,0.559952380952381,4.0,B
APA,2022-03-31,0.5260422077922078,5.0,C
OVV,2022-03-31,0.5216038961038961,6.0,C
CRGY,2022-03-31,0.4834897186147187,7.0,C
PXD,2022-03-31,0.48311904761904756,8.0,C
SM,2022-03-31,0.4717359307359307,9.0,C
VTLE,2022-03-31,0.46607142857142864,10.0,C
CTRA,2022-03-31,0.46058549783549785,11.0,C
FANG,2022-03-31,0.44006168831168824,12.0,C
CTRA,2022-06-30,0.644180735930736,1.0,B
APA,2022-06-30,0.5819231601731601,2.0,B
EOG,2022-06-30,0.5602835497835498,3.0,B
VTLE,2022-06-30,0.5548333333333333,4.0,B
CIVI,2022-06-30,0.5346071428571428,5.0,C
FANG,2022-06-30,0.525478354978355,6.0,C
CRGY,2022-06-30,0.5194788961038961,7.0,C
MTDR,2022-06-30,0.5159339826839827,8.0,C
CPE,2022-06-30,0.4908582251082252,9.0,C
PXD,2022-06-30,0.45541125541125543,10.0,C
OVV,2022-06-30,0.3868365800865801,11.0,D
SM,2022-06-30,0.3621168831168831,12.0,D
EOG,2022-09-30,0.6168774281274281,1.0,B
FANG,2022-09-30,0.5778804528804529,2.0,B
CTRA,2022-09-30,0.5604116994116994,3.0,B
MTDR,2022-09-30,0.5587325174825175,4.0,B
VTLE,2022-09-30,0.5259365634365635,5.0,C
APA,2022-09-30,0.5084261571761571,6.0,C
PR,2022-09-30,0.49539516039516046,7.0,C
CPE,2022-09-30,0.4907287712287712,8.0,C
OVV,2022-09-30,0.48947732822732815,9.0,C
CRGY,2022-09-30,0.47412659562659554,10.0,C
PXD,2022-09-30,0.44408491508491515,11.0,C
CIVI,2022-09-30,0.4416152181152181,12.0,C
SM,2022-09-30,0.41374803767660906,13.0,C
CTRA,2022-12-31,0.6247749472749473,1.0,B
MTDR,2022-12-31,0.5978907203907204,2.0,B
EOG,2022-12-31,0.5425330225330226,3.0,C
CRGY,2022-12-31,0.5337627372627373,4.0,C
VTLE,2022-12-31,0.5037992007992007,5.0,C
CIVI,2022-12-31,0.5036510156510157,6.0,C
FANG,2022-12-31,0.5032672882672883,7.0,C
APA,2022-12-31,0.496917526917527,8.0,C
PXD,2022-12-31,0.47323876123876124,9.0,C
CPE,2022-12-31,0.46960323010323,10.0,C
PR,2022-12-31,0.4532975357975358,11.0,C
SM,2022-12-31,0.4516631780917495,12.0,C
OVV,2022-12-31,0.4363683538683538,13.0,C
CTRA,2023-03-31,0.6505368520368521,1.0,B
EOG,2023-03-31,0.6220018870018871,2.0,B
FANG,2023-03-31,0.5576889776889776,3.0,B
APA,2023-03-31,0.5316305916305917,4.0,C
