ticker,quarter,rank,tier
SM,2020-12-31,2.0,B
CXO,2020-12-31,3.0,C
FANG,2020-12-31,4.0,C
MTDR,2020-12-31,5.0,C
EOG,2020-12-31,6.0,C
PXD,2020-12-31,7.0,C
OVV,2020-12-31,8.0,C
CPE,2020-12-31,9.0,C
VTLE,2021-03-31,1.0,B
APA,2021-03-31,2.0,B
PXD,2021-03-31,3.0,B
SM,2021-03-31,4.0,C
OVV,2021-03-31,5.0,C
EOG,2021-03-31,6.0,C
FANG,2021-03-31,7.0,C
CPE,2021-03-31,8.0,C
MTDR,2021-03-31,9.0,C
APA,2021-06-30,1.0,B
VTLE,2021-06-30,2.0,B
EOG,2021-06-30,3.0,B
FANG,2021-06-30,4.0,C
PXD,2021-06-30,5.0,C
MTDR,2021-06-30,6.0,C
CPE,2021-06-30,7.0,C
OVV,2021-06-30,8.0,C
SM,2021-06-30,9.0,D
EOG,2021-09-30,1.0,B
VTLE,2021-09-30,2.0,C
CPE,2021-09-30,3.0,C
OVV,2021-09-30,4.0,C
APA,2021-09-30,5.0,C
MTDR,2021-09-30,6.0,C
PXD,2021-09-30,7.0,C
FANG,2021-09-30,8.0,C
SM,2021-09-30,9.0,C
APA,2021-12-31,1.0,B
EOG,2021-12-31,2.0,B
CTRA,2021-12-31,3.0,B
CPE,2021-12-31,4.0,C
VTLE,2021-12-31,5.0,C
MTDR,2021-12-31,6.0,C
CRGY,2021-12-31,7.0,C
OVV,2021-12-31,8.0,C
CIVI,2021-12-31,9.0,C
SM,2021-12-31,10.0,C
PXD,2021-12-31,11.0,C
FANG,2021-12-31,12.0,C
CIVI,2022-03-31,1.0,B
EOG,2022-03-31,2.0,B
CPE,2022-03-31,3.0,B
MTDR,2022-03-31,4.0,B
APA,2022-03-31,5.0,C
OVV,2022-03-31,6.0,C
CRGY,2022-03-31,7.0,C
PXD,2022-03-31,8.0,C
SM,2022-03-31,9.0,C
VTLE,2022-03-31,10.0,C
CTRA,2022-03-31,11.0,C
FANG,2022-03-31,12.0,C
CTRA,2022-06-30,1.0,B
APA,2022-06-30,2.0,B
EOG,2022-06-30,3.0,B
VTLE,2022-06-30,4.0,B
CIVI,2022-06-30,5.0,C
FANG,2022-06-30,6.0,C
CRGY,2022-06-30,7.0,C
MTDR,2022-06-30,8.0,C
CPE,2022-06-30,9.0,C
PXD,2022-06-30,10.0,C
OVV,2022-06-30,11.0,D
SM,2022-06-30,12.0,D
EOG,2022-09-30,1.0,B
FANG,2022-09-30,2.0,B
CTRA,2022-09-30,3.0,B
MTDR,2022-09-30,4.0,B
VTLE,2022-09-30,5.0,C
APA,2022-09-30,6.0,C
PR,2022-09-30,7.0,C
CPE,2022-09-30,8.0,C
OVV,2022-09-30,9.0,C
CRGY,2022-09-30,10.0,C
PXD,2022-09-30,11.0,C
CIVI,2022-09-30,12.0,C
SM,2022-09-30,13.0,C
CTRA,2022-12-31,1.0,B
MTDR,2022-12-31,2.0,B
EOG,2022-12-31,3.0,C
CRGY,2022-12-31,4.0,C
VTLE,2022-12-31,5.0,C
CIVI,2022-12-31,6.0,C
FANG,2022-12-31,7.0,C
APA,2022-12-31,8.0,C
PXD,2022-12-31,9.0,C
CPE,2022-12-31,10.0,C
PR,2022-12-31,11.0,C
SM,2022-12-31,12.0,C
OVV,2022-12-31,13.0,C
CTRA,2023-03-31,1.0,B
EOG,2023-03-31,2.0,B
FANG,2023-03-31,3.0,B
APA,2023-03-31,4.0,C
MTDR,2023-03-31,5.0,C
CRGY,2023-03-31,6.0,C
VTLE,2023-03-31,7.0,C
CPE,2023-03-31,8.0,C
CIVI,2023-03-31,9.0,C
SM,2023-03-31,10.0,C
OVV,2023-03-31,11.0,C
PXD,2023-03-31,12.0,C
PR,2023-03-31,13.0,D
EOG,2023-06-30,1.0,B
OVV,2023-06-30,2.0,B
CTRA,2023-06-30,3.0,B
FANG,2023-06-30,4.0,C
CIVI,2023-06-30,5.0,C
VTLE,2023-06-30,6.0,C
APA,2023-06-30,7.0,C
CPE,2023-06-30,8.0,C
PXD,2023-06-30,9.0,C
SM,2023-06-30,10.0,C
CRGY,2023-06-30,11.0,C
MTDR,2023-06-30,12.0,C
PR,2023-06-30,13.0,D
EOG,2023-09-30,1.0,B
FANG,2023-09-30,2.0,B
VTLE,2023-09-30,3.0,B
OVV,2023-09-30,4.0,C
CTRA,2023-09-30,5.0,C
SM,2023-09-30,6.0,C
CPE,2023-09-30,7.0,C
MTDR,2023-09-30,8.0,C
CIVI,2023-09-30,9.0,C
APA,2023-09-30,10.0,C
PR,2023-09-30,11.0,C
PXD,2023-09-30,12.0,C
CRGY,2023-09-30,13.0,D
CTRA,2023-12-31,1.0,B
VTLE,2023-12-31,2.0,B
FANG,2023-12-31,3.0,
EOG,2023-12-31,4.0,C
SM,2023-12-31,5.0,C
APA,2023-12-31,6.0,C
CRGY,2023-12-31,7.0,C
OVV,2023-12-31,8.0,C
CPE,2023-12-31,9.0,C
PXD,2023-12-31,10.0,C
CIVI,2023-12-31,11.0,C
PR,2023-12-31,12.0,C
MTDR,2023-12-31,13.0,C
VTLE,2024-03-31,1.0,B
SM,2024-03-31,2.0,B
CTRA,2024-03-31,3.0,B
FANG,2024-03-31,4.0,B
APA,2024-03-31,5.0,B
OVV,2024-03-31,6.0,C
EOG,2024-03-31,7.0,C
CPE,2024-03-31,8.0,C
CIVI,2024-03-31,9.0,C
PR,2024-03-31,10.0,C
MTDR,2024-03-31,11.0,C
PXD,2024-03-31,12.0,C
CRGY,2024-03-31,13.0,D
EOG,2024-06-30,1.0,B
VTLE,2024-06-30,2.0,B
CTRA,2024-06-30,3.0,B
CIVI,2024-06-30,4.0,C
PR,2024-06-30,5.0,C
APA,2024-06-30,6.0,C
FANG,2024-06-30,7.0,C
OVV,2024-06-30,8.0,C
SM,2024-06-30,9.0,C
MTDR,2024-06-30,10.0,C
CRGY,2024-06-30,11.0,D
EOG,2024-09-30,1.0,B
CTRA,2024-09-30,2.0,B
APA,2024-09-30,3.0,B
FANG,2024-09-30,4.0,C
OVV,2024-09-30,5.0,C
CIVI,2024-09-30,6.0,C
PR,2024-09-30,7.0,C
CRGY,2024-09-30,8.0,C
SM,2024-09-30,9.0,C
VTLE,2024-09-30,10.0,C
MTDR,2024-09-30,11.0,C
CTRA,2024-12-31,1.0,B
VTLE,2024-12-31,2.0,B
EOG,2024-12-31,3.0,B
APA,2024-12-31,4.0,B
CIVI,2024-12-31,5.0,B
OVV,2024-12-31,6.0,C
SM,2024-12-31,7.0,C
FANG,2024-12-31,8.0,C
MTDR,2024-12-31,9.0,C
PR,2024-12-31,10.0,C
CRGY,2024-12-31,11.0,D
EOG,2025-03-31,1.0,B
CTRA,2025-03-31,2.0,B
APA,2025-03-31,3.0,B
CIVI,2025-03-31,4.0,B
OVV,2025-03-31,5.0,B
VTLE,2025-03-31,6.0,C
MTDR,2025-03-31,7.0,C
FANG,2025-03-31,8.0,C
