path,file_type,line_count,imports,exports,referenced_by,references,purpose,status,cleanup_action
data/scores/scores_20160630.csv,csv,9,,,,,General component,KEEP,none
data/scores/scores_20140331.csv,csv,9,,,,,General component,KEEP,none
data/scores/scores_20241231.csv,csv,12,,,,,General component,KEEP,none
data/scores/scores_20220630.csv,csv,13,,,,,General component,KEEP,none
data/scores/scores_20200331.csv,csv,10,,,,,General component,KEEP,none
data/scores/scores_20240930.csv,csv,12,,,,,General component,KEEP,none
data/scores/scores_20160331.csv,csv,9,,,,,General component,KEEP,none
data/scores/scores_20140630.csv,csv,9,,,,,General component,KEEP,none
data/scores/scores_20250930.csv,csv,12,,,,,General component,KEEP,none
data/scores/scores_20170331.csv,csv,9,,,,,General component,KEEP,none
data/scores/all_scores.parquet,parquet,0,,,,,General component,KEEP,none
data/scores/scores_20150630.csv,csv,9,,,,,General component,KEEP,none
data/scores/scores_20251231.csv,csv,11,,,,,General component,KEEP,none
data/scores/scores_20230630.csv,csv,14,,,,,General component,KEEP,none
data/scores/scores_20210331.csv,csv,10,,,,,General component,KEEP,none
data/backtest/performance_ledger.csv,csv,2,,,,,General component,KEEP,none
data/backtest/pit_audit_examples.csv,csv,2,,,,,General component,KEEP,none
data/backtest/universe_ledger.csv,csv,2,,,,,General component,KEEP,none
data/audit/extraction_ledger.csv,csv,2,,,,,General component,KEEP,none
data/raw/prices/px_PXD.parquet,parquet,0,,,,,General component,KEEP,none
data/raw/prices/px_V.parquet,parquet,0,,,,,General component,KEEP,none
data/raw/prices/px_MTDR.parquet,parquet,0,,,,,General component,KEEP,none
data/raw/prices/px_JPM.parquet,parquet,0,,,,,General component,KEEP,none
data/raw/prices/px_OVV.parquet,parquet,0,,,,,General component,KEEP,none
data/raw/prices/px_CRGY.parquet,parquet,0,,,,,General component,KEEP,none
data/raw/prices/px_TSLA.parquet,parquet,0,,,,,General component,KEEP,none
data/raw/prices/px_NFLX.parquet,parquet,0,,,,,General component,KEEP,none
data/raw/prices/px_SPY.parquet,parquet,0,,,,,General component,KEEP,none
data/raw/prices/px_MSFT.parquet,parquet,0,,,,,General component,KEEP,none
data/raw/prices/px_CXO.parquet,parquet,0,,,,,General component,KEEP,none
data/raw/prices/px_XOP.parquet,parquet,0,,,,,General component,KEEP,none
data/raw/prices/px_PG.parquet,parquet,0,,,,,General component,KEEP,none
data/raw/prices/px_PR.parquet,parquet,0,,,,,General component,KEEP,none
data/raw/prices/px_JNJ.parquet,parquet,0,,,,,General component,KEEP,none
data/raw/prices/px_GOOG.parquet,parquet,0,,,,,General component,KEEP,none
data/raw/prices/px_CL=F.parquet,parquet,0,,,,,General component,KEEP,none
data/raw/prices/px_SM.parquet,parquet,0,,,,,General component,KEEP,none
data/raw/prices/px_CPE.parquet,parquet,0,,,,,General component,KEEP,none
data/raw/prices/px_WMT.parquet,parquet,0,,,,,General component,KEEP,none
data/raw/prices/px_EOG.parquet,parquet,0,,,,,General component,KEEP,none
data/raw/prices/px_AAPL.parquet,parquet,0,,,,,General component,KEEP,none
data/raw/prices/px_DIS.parquet,parquet,0,,,,,General component,KEEP,none
data/raw/prices/px_VTLE.parquet,parquet,0,,,,,General component,KEEP,none
data/raw/prices/px_META.parquet,parquet,0,,,,,General component,KEEP,none
data/raw/prices/px_AMZN.parquet,parquet,0,,,,,General component,KEEP,none
data/raw/prices/px_CIVI.parquet,parquet,0,,,,,General component,KEEP,none
data/raw/prices/px_CTRA.parquet,parquet,0,,,,,General component,KEEP,none
data/raw/prices/px_NVDA.parquet,parquet,0,,,,,General component,KEEP,none
data/raw/prices/px_APA.parquet,parquet,0,,,,,General component,KEEP,none
data/raw/prices/px_FANG.parquet,parquet,0,,,,,General component,KEEP,none
data/raw/fred/fred_DCOILWTICO.parquet,parquet,0,,,,,General component,KEEP,none
data/raw/eia/eia_COPRPM.parquet,parquet,0,,,,,General component,KEEP,none
data/raw/eia/eia_COPRPER.parquet,parquet,0,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0000893538_0000893538-22-000045.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0000928054_0000928054-19-000095.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/facts_0000821189.json,json,235822,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001038357_0001038357-24-000020.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/sub_0001539838.json,json,16120,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001539838_0001539838-19-000095.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001792580_0001564590-23-002595.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/facts_0001038357.json,json,238623,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0000821189_0000821189-21-000075.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0000928054_0000928054-19-000083.json,json,21,,,,,General component,KEEP,none
