ticker,quarter,unit_economics_score,capital_discipline_score,balance_sheet_score,hedge_book_score,reserves_score,operational_score,sentiment_score,macro_sensitivity_score,caligula_score,rank,tier
MTDR,2020-12-31,0.36419753086419754,0.5288888888888889,0.5208333333333334,0.5925925925925926,0.7314814814814814,0.4333333333333333,0.4066666666666666,0.345679012345679,0.49180555555555555,5.0,C
EOG,2020-12-31,0.22530864197530864,0.5644444444444444,0.5238095238095238,0.5555555555555557,0.5425925925925926,0.21666666666666665,0.6799999999999999,0.6567901234567901,0.47911111111111104,6.0,C
PXD,2020-12-31,0.558641975308642,0.38095238095238093,0.5476190476190477,0.4444444444444445,0.3111111111111111,0.638888888888889,0.3333333333333333,0.5555555555555556,0.47225396825396837,7.0,C
OVV,2020-12-31,0.07407407407407407,0.4266666666666667,0.5,0.7037037037037037,0.6555555555555556,0.6444444444444445,0.47333333333333333,0.5012345679012346,0.4673333333333333,8.0,C
CPE,2020-12-31,0.17901234567901236,0.2619047619047619,0.5744047619047619,0.4444444444444444,0.4111111111111111,0.5444444444444445,0.6666666666666666,0.5555555555555556,0.4257023809523809,9.0,C
VTLE,2021-03-31,0.5246913580246914,0.8095238095238094,0.49107142857142855,0.7407407407407406,0.6555555555555556,0.49444444444444446,0.7777777777777778,0.5555555555555556,0.6294007936507936,1.0,B
APA,2021-03-31,0.48456790123456783,0.7244444444444444,0.7976190476190476,0.40740740740740744,0.6018518518518519,0.5888888888888889,0.24999999999999994,0.6111111111111113,0.5675555555555556,2.0,B
PXD,2021-03-31,0.29629629629629634,0.42857142857142855,0.5476190476190477,0.7037037037037037,0.5888888888888889,0.6666666666666666,0.8888888888888888,0.5555555555555556,0.554952380952381,3.0,B
SM,2021-03-31,0.7561728395061729,0.21428571428571427,0.6583333333333333,0.5925925925925927,0.5833333333333334,0.7222222222222222,0.3666666666666667,0.27901234567901234,0.535531746031746,4.0,C
OVV,2021-03-31,0.29320987654320985,0.5422222222222222,0.4375,0.5555555555555555,0.7407407407407408,0.6833333333333333,0.6666666666666667,0.4827160493827161,0.5293611111111112,5.0,C
EOG,2021-03-31,0.5462962962962963,0.611111111111111,0.45238095238095244,0.4074074074074074,0.3333333333333333,0.5333333333333334,0.8,0.5641975308641975,0.5263333333333334,6.0,C
FANG,2021-03-31,0.7407407407407408,0.45111111111111113,0.27976190476190477,0.3333333333333333,0.6712962962962963,0.4444444444444445,0.41666666666666663,0.4567901234567901,0.48794444444444435,7.0,C
CPE,2021-03-31,0.29012345679012347,0.2619047619047619,0.5029761904761905,0.7037037037037037,0.2333333333333333,0.6555555555555556,0.4444444444444444,0.5555555555555556,0.43436904761904754,8.0,C
MTDR,2021-03-31,0.23456790123456792,0.5377777777777778,0.4017857142857143,0.5555555555555555,0.5879629629629629,0.2111111111111111,0.41666666666666663,0.3160493827160494,0.40758333333333335,9.0,C
APA,2021-06-30,0.6635802469135803,0.7799999999999999,0.8005952380952381,0.6666666666666666,0.3888888888888889,0.538888888888889,0.4,0.5396825396825398,0.6176547619047619,1.0,B
VTLE,2021-06-30,0.5154320987654322,0.738095238095238,0.6845238095238094,0.6666666666666666,0.16666666666666666,0.5777777777777777,0.5555555555555556,0.5555555555555556,0.5626587301587302,2.0,B
EOG,2021-06-30,0.4567901234567901,0.6666666666666666,0.619047619047619,0.2962962962962963,0.7361111111111112,0.37222222222222223,0.7,0.5864197530864198,0.5527777777777778,3.0,B
FANG,2021-06-30,0.5030864197530864,0.5511111111111112,0.45833333333333337,0.8148148148148149,0.6111111111111112,0.49444444444444446,0.45,0.4271604938271605,0.5413888888888888,4.0,C
PXD,2021-06-30,0.5246913580246914,0.42857142857142855,0.1904761904761905,0.7037037037037037,0.4,0.6,0.9444444444444443,0.5555555555555556,0.5222857142857142,5.0,C
MTDR,2021-06-30,0.5216049382716049,0.5266666666666667,0.4017857142857143,0.3333333333333333,0.875,0.37777777777777777,0.5333333333333333,0.2938271604938272,0.4916944444444445,6.0,C
